Repository,User,EventType,Comment
pyinstaller/pyinstaller,matysek,IssueCommentEvent,I think this is caused by missing hooks for pyside. This is duplicate of #498.
fxbois/web-mode,fxbois,IssueCommentEvent,@shackra the last version pushed on github provides ```web-mode-attribute-insert``` and ```web-mode-element-insert```
Stickymaddness/Procurement,Stickymaddness,IssueCommentEvent,"Ah yes, that was probably it. I've removed the attribute."
swiperproxy/swiperproxy,Argure,IssueCommentEvent,Because this doesn't make sense to fix until a new release is rolled out.
taglib/taglib,lalinsky,PullRequestReviewCommentEvent,"Also, there is identical code just below. If we add the check here, it would be good to also add it there. But I wonder if it's possible to detect this kind of error earlier in Ogg packet parsing."
bitcoin-solutions/multibit-hd,bitcoin-solutions,IssueCommentEvent,"Updated use case:

#### Use case: Wiped Trezor attached at cold start

1) User starts fresh MBHD with a wiped Trezor attached
2) MBHD responds with licence -> language -> create Trezor wallet preparation (we skip the select because of ""Trezor mode"")
3) User provides a cloud backup location, sets the PIN and creates the wallet as usual. MBHD writes the wallet.
4) MBHD does no checking for existing backups (it can't without Unlock) and simply presents the credentials screen (they need practice in using this screen under the principle of least surprise)
5) User is viewing the credential screen showing a PIN matrix, an Exit button and a Next button (initially grayed out). User performs PIN + Unlock (first time with Unlock at this point)
5a) An incorrect PIN repeats PIN request via Unlock request (user can Exit)
5b) A cancelled Unlock (on the Trezor) switches to password mode (user doesn't want to use this Trezor after all and wants to work with soft wallets in some way) - or they can Exit
5c) A detached Trezor switches to password mode
5d) A re-attached Trezor switches to Trezor mode (PIN + Unlock = step 4)
6) After the PIN + Unlock MBHD works out the wallet id and entropy/ password and attempts to load the wallet. If the wallet loads successfully it shows the wallet load report screen showing success. If the wallet load fails it automatically attempts to load any available rolling backups. If one of these load successfully it shows the report screen indicating that the primary wallet did not load and it is using a backup. If no rolling backup is available or none load successfully it shows the report screen indicating the nature of the failure.

7) MBHD shows the wallet load report screen with a message as to whether the wallet loaded ok or not and the following options:
7a) Exit - MBHD terminates
7b) Restore - proceed to Restore use case
7c) Finish - MBHD shows Send/Request with the empty wallet. Finish is enabled only if the wallet (or rolling backup) loaded ok. On Finish MBHD will take them straight into their wallet (user has already unlocked it and will be aware of this)

### Use case: restore
Invoked from 7b) above.

1) MBHD looks to see if it has any zip backups in the wallet ""zip-backup"" directory. If there are any it shows the dates of the available zip backups in a combo box (most recent first). The user chooses a zip backup and MBHD restores it. The user is shown a restore report page (step 3).  If there are no zip backups in the wallet directory proceed to 2).
2) (No zip backups in wallet directory) The user is asked for the cloud backup directory. If there are any zip backups in this directory the user is shown a combo box with the zip backups available (most recent first). The user selects a zip backup and MBHD restores it. The user sees a restore report screen (step 3).
3) (Wallet restore report screen). This screen has a Finish button only. The user is told whether the the zip backup previously selected restored ok. If no zip backup was available or it failed to restore the user is told that they can also restore a Trezor as a Trezor soft wallet (mentioned here as it not obvious). After Finish the user is sent to the credentials screen which, as it is in Trezor mode, will show a PIN matrix.

#### Use case: Wiped Trezor attached at warm start

1) Same as ""wiped Trezor attached at cold start"" but licence -> language are skipped and user is straight into create Trezor wallet preparation

#### Use case: Initialised Trezor attached at cold start

1) User starts fresh MBHD with an initialised Trezor attached
2) MBHD responds with licence -> language -> and automatically selects ""use existing wallet"" because of ""Trezor mode""
3) Follow from step 4 in ""wiped Trezor attached at cold start""

#### Use case: Initialised Trezor attached at warm start

1) User starts licensed MBHD with an initialised Trezor attached
2) Follow from step 4 in ""wiped Trezor attached at cold start"""
neokree/MaterialNavigationDrawer,h0aX14,IssueCommentEvent,"And what is your application level theme ? is it AppTheme ?
if yes, problem lies there!
Refer this sample example's style.xml
https://github.com/neokree/MaterialNavigationDrawer/blob/master/MaterialNavigationDrawer/app/src/main/res/values/styles.xml

You can use any of them found here ::
https://github.com/neokree/MaterialNavigationDrawer/blob/master/MaterialNavigationDrawerModule/src/main/res/values/styles.xml
"
bjd54321/Ex03,Aleosha,IssueCommentEvent,"Using it in getting wrong phone number now.

01.01.2015, 09:39, ""bjd54321"" <notifications@github.com>:
> —
> Reply to this email directly or view it on GitHub."
lsegal/yard,febeling,IssueCommentEvent,"Thank you for your insightful answer! I think I'll go with the `!@parse` approach for the short term, and maybe look at writing a directive extension later."
LMMS/lmms,Spekular,IssueCommentEvent,"@softrabbit I was going to but I can't remember how mmpz files are
compressed. Opening it in gedit gives me a bunch of garbage."
tzyganu/Switcher,oviliz,IssueCommentEvent,"I'm sure that I've done that via CSS.
The ""...50px!important"" should help.
On 1 Jan 2015 10:38, ""Marius Strajeru"" <notifications@github.com> wrote:

> @Jerry-Yocupco <https://github.com/Jerry-Yocupco> @oviliz
> <https://github.com/oviliz> the resize part is sort of an unfinished
> feature. I totally forgot about it.
>
> youu can resize the images but in the css file still the width and height
> of the box are still 40px.
>
> I'll see what I can do in the next version.
>
> As for the color name after the label...I will try to do that but it's not
> very high priority.
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/tzyganu/Switcher/issues/87#issuecomment-68484017>.
>"
SassDoc/sassdoc-theme-default,valeriangalliat,IssueCommentEvent,"BTW we'll need to merge this manually into `develop` at the end, since GitHub still won't allow us to change the target branch of a PR."
asciimoo/searx,asciimoo,IssueCommentEvent,"New engines and pep8 \o/
Thanks!
The bug sounds strange, never noticed the same - some test would be good.."
numba/llvmlite,pitrou,IssueCommentEvent,"Thanks for the pull request. You should mention 14.04 precisely, because the Ubuntu package on 14.10 works fine."
forcecore/KWReplayAutoSaver,forcecore,IssueCommentEvent,6eff52420a771bed44948363828bf5ffcd60336c
LaurentGomila/SFML,LaurentGomila,IssueCommentEvent,"> scissor buffer

Stencil buffer ;)

The stencil buffer is well supported and allows a wide range of possibilities, so it is the best candidate. However since it can be disabled (and is currently not enabled by default) in the context settings, it implies that the user can disable clipping masks, without even knowing it. So this must be at least well documented, and even enforced if possible.

So the main problem is to decide what we use to define the clipping area. We could start with a ```const sf::Drawable*``` to have maximum flexibility.

Another question is: do we allow only one active mask, or do we provide the ability to add multiple masks?

We should think about the most common use cases of clipping masks in order to answer efficiently to these questions."
dankempster/axstrad-page-bundle,coveralls,IssueCommentEvent,"
[![Coverage Status](https://coveralls.io/builds/1680264/badge)](https://coveralls.io/builds/1680264)

Changes Unknown when pulling **99b0f7760877cfd7bbecdfcad7c3355ba080892b on add-coveralls** into ** on develop**.
"
sendwithus/templates,kaytcat,IssueCommentEvent,"Hi @bjcubfan, I made a fix for this in #14 . It should be merged shortly. Thanks for letting us know!"
mixxxdj/mixxx,daschuer,PullRequestReviewCommentEvent,https://bugs.launchpad.net/mixxx/+bug/1406899
JuliaLang/julia,timholy,IssueCommentEvent,"I also confess some reluctance before #8504 gets fixed---it's a nasty problem, and it's holding even me back from using stagedfunctions more pervasively.

But, let's go for it and see what happens. If nothing else it might be more incentive to at least get some discussion about [my proposed fix](https://github.com/JuliaLang/julia/issues/8504#issuecomment-64091974)."
bolt/bolt,rossriley,IssueCommentEvent,"Happy new year too. :-)

So am i right in that the best way to manage this  is to create the branch but treat it the same as master in that no changes are ever pushed to it directly and no merges are made using this branch. 

Instead PRs are made and merged from our own feature branches and then once decided as stable we create a PR using the same feature branch on master. 

That way the canary branch is effectively a way to test many various feature branches in conjunction, but we don't run into a situation where we need to do big merges since the feature branches will have proven themselves pretty stable.

As a nice side effect we should have a situation where it's easy to scan the changes to master by looking purely at which feature branches have been merged in."
tzyganu/Switcher,oviliz,IssueCommentEvent,"PS. La multi ani! :)
On 1 Jan 2015 13:10, ""Cristian O. Balan"" <ovidio.balan@gmail.com> wrote:

> I'm sure that I've done that via CSS.
> The ""...50px!important"" should help.
> On 1 Jan 2015 10:38, ""Marius Strajeru"" <notifications@github.com> wrote:
>
>> @Jerry-Yocupco <https://github.com/Jerry-Yocupco> @oviliz
>> <https://github.com/oviliz> the resize part is sort of an unfinished
>> feature. I totally forgot about it.
>>
>> youu can resize the images but in the css file still the width and height
>> of the box are still 40px.
>>
>> I'll see what I can do in the next version.
>>
>> As for the color name after the label...I will try to do that but it's
>> not very high priority.
>>
>> —
>> Reply to this email directly or view it on GitHub
>> <https://github.com/tzyganu/Switcher/issues/87#issuecomment-68484017>.
>>
>"
mozilla/jpm,johannhof,IssueCommentEvent,"Ok, good :bowtie: 
That's kind of what I was trying to say in my initial comment. I dislike the file moving/temporary files but I was trying to get as close to cfx as possible. It's good to have a decision on that. I'll ask more closely next time.

I'll extract the non-moving parts and make a new PR. :)"
RuudBurger/CouchPotatoServer,oxeno,IssueCommentEvent,"Same thing for me (Home and Wanted pages), but i am not on master (using 2.6.1)

### Steps to reproduce:
1. Login to couchpotato
2. click home or click wanted
3. the spinner spins endlessly 

### Information:
Movie(s) I have this with: all
Quality of the movie being searched: ...
Providers I use: ...
Version of CouchPotato: desktop: 2.6.1
Running on: windows 8.1

### Logs:
```
01-01 14:49:45 ERROR [          couchpotato.api] Failed proper encode: Traceback (most recent call last):
  File ""C:\Users\mediabox\AppData\Roaming\CouchPotato\application\appdata\CouchPotato-2.6.1.win32\couchpotato\api.py"", line 144, in taskFinished
  File ""C:\Users\mediabox\AppData\Roaming\CouchPotato\application\appdata\CouchPotato-2.6.1.win32\libs\tornado\web.py"", line 655, in write
  File ""C:\Users\mediabox\AppData\Roaming\CouchPotato\application\appdata\CouchPotato-2.6.1.win32\libs\tornado\escape.py"", line 88, in json_encode
  File ""json\__init__.pyc"", line 243, in dumps
  File ""json\encoder.pyc"", line 207, in encode
  File ""json\encoder.pyc"", line 270, in iterencode
UnicodeDecodeError: 'utf8' codec can't decode byte 0xa0 in position 106: invalid start byte 
```"
RainLoop/rainloop-webmail,MrKeiKun,IssueCommentEvent,"@RainLoop 

it returned
```
NULL
```"
pmj/virtio-net-osx,pmj,IssueCommentEvent,"I'm wondering if it's something to do with (guest) physical addresses.

I've just bumped VM RAM to 3.5GB in the hope that some of those physical addresses will go above the 32-bit boundary, and I'll let a fairly memory and network intensive install run, and see if that triggers the problem."
getnikola/nikola,felixfontein,IssueCommentEvent,"Cool, everything's already done! :)
A priority system won't be exactly complicated, since most things can have the same priority -- there are still doit's dependencies to handle that. But then, that was just a suggestion, I'm perfectly happy with ```EarlyTask``` as it is now. Thanks!
Well, and of course, a Happy New Year to you all!"
Baystation12/Baystation12,Zuhayr,IssueCommentEvent,Going to close this as it works on dev-freeze and that's where all fixes are being targeted.
BobPalmer/MKS,koshboo,IssueCommentEvent,can confirm that the above values work for the price 2470
OpenRA/OpenRA,LipkeGu,IssueCommentEvent,again ...
apache/spark,AmplabJenkins,IssueCommentEvent,Can one of the admins verify this patch?
WouterJ/fred,WouterJ,IssueCommentEvent,Fixed by https://github.com/WouterJ/fred/commit/1c78af8ea9ea165bcb9737d5266640d7006df508
musescore/MuseScore,lasconic,IssueCommentEvent,"Apparently word2 test is failing on Linux with the following...
```
FAIL!  : TestMxmlIO::words2() 'saveCompareMusicXmlScore(score, QString(file) + "".xml"", DIR + file + "".xml"")' returned FALSE. ()
   Loc: [/home/vagrant/MuseScore/mtest/musicxml/io/tst_mxml_io.cpp(223)]
```

Problem is around line 146, the reference file looks like
![capture d ecran 2015-01-01 14 11 02](https://cloud.githubusercontent.com/assets/234271/5592214/299542d0-91c0-11e4-93fb-0934317f7798.png)

while the generated file is 
![capture d ecran 2015-01-01 14 10 36](https://cloud.githubusercontent.com/assets/234271/5592216/324d723a-91c0-11e4-90ba-f88b23eba6a0.png)

"
marschall/memoryfilesystem,marschall,IssueCommentEvent,This is a side effect of #44 I should a fix shortly.
ipython/ipython,damianavila,PullRequestReviewCommentEvent,Probably it has to be applied broadly...
hit9/PyZh,LaoLiulaoliu,IssueCommentEvent,这下明白了，谢谢
owncloud/android,jancborchardt,IssueCommentEvent,@rperezb @davivel this is reviewed from my side. Can you look into it?
mayaSun/myflix,matthewbarram,PullRequestReviewCommentEvent,Should be a space here after the `=`.
SoftEtherVPN/SoftEtherVPN,Cattze2015,IssueCommentEvent,"SoftetherVPN and PacketixVPN are both comes with tracking.
They send your computer name, local IP address to VPN server.
Sometimes, these information goes to EDUCATION network in South Asia.

http://www.makeuseof.com/tag/antivirus-tracking-youd-surprised-sends/
^ What's the difference between this evil AV and SEVPN? Same!

Hey @dnobori, any comments?
At least, ""Computer name"" and ""OS type/version/serial"" should not be sent to VPN server(including PacketixVPN).
Your VPN Client sent too much information. Can't you make it minimum?"
dnschneid/crouton,pigeonflight,IssueCommentEvent,"I'm on precise, so I've been caught by this, I tried to add xiwi as a target. In the meantime, how do I ""rollback"" and remove all things xiwi. When I start my chroot now I am always prompted as follows:

    A chroot setup script still exists inside the chroot.
    The chroot may not be fully set up.
    Would you like to finish the setup? [Y/n/d] 

Saying 'n' at that prompt gets me back to what I'm used to but it would be nice to get rid of this."
TTMTT/iCL0udin,drmatrix,IssueCommentEvent,"![icloudin](https://cloud.githubusercontent.com/assets/6359599/5592215/2b6294dc-91c0-11e4-8deb-801f73c0b440.png)

what is that ?"
mayaSun/myflix,matthewbarram,PullRequestReviewCommentEvent,Spaces should be after `=`
magnumripper/jtrTestSuite,jfoug,IssueCommentEvent,"It sort of 'has' to.  All non-known options are treated as hash types, and hashes which do not exist in this build of JtR are simply silently ignored. 

I could do this however:

1. not silently skip unknown hashes. I could at least output that 'hash xxx was not found'  So in this case it would state:  ""Hash -dev=cpu was not found""

That in itself may be enough.

2. I could abort with unknown param if the param leads with a '-' char.  That does catch some, but not all improper usage.

@magnumripper, what say you about these ideas?
"
Secretchronicles/TSC,Quintus,IssueCommentEvent,"> Does it make sense to merge the entire release branch back into devel?

>  I had thought anything that went into release-2.0.0 went into devel. If devel overrode something that the release-2.0.0 branch did, we would resolve those through the conflict resolution system so that devel maintains its changes.

^ Exactly that. @brianvanderburg2, have a look here: http://nvie.com/posts/a-successful-git-branching-model/ That one explains the branching we are doing. `release-2.0.0` is merged completely into `devel` from time to time. Use the conflict resolution to maintain changes in `devel` that override those in `release-2.0.0`.

Note that after 2.0.0 is released, the `release-2.0.0` branch is finished.

> I would assume git is smart enough to track the renaming of files when analyzing conflicts

It is, to a certain degree. I made a mistake when moving the `smc/` directory to `tsc/`. Git gave me a warning that this caused too much renames for its settings and told me to increase the setting for this, but I was exhausted from merging and tired as it was late, and I just ignored the warning. As a result, Git now thinks that the `smc/` directory was completey erased and all the files in `tsc/` were added newly. But this is an extreme edge case, normally Git’s renaming tracking works just fine. It even gives you a warning on `git commit` if it encounters too much renames.

"
rovo89/XposedInstaller,pylerSM,IssueCommentEvent,"I think at least on Lollipop we should not have it.

><uses-permission
>     android:name=""android.permission.android.permission.ACCESS_SUPERUSER""
>     android:maxSdkVersion=""19"" />"
mixxxdj/mixxx,daschuer,PullRequestReviewCommentEvent,"Because the engine thread is created from external libraries, probably ALSA, where we cannot set the CC flags. 
"
neokree/MaterialNavigationDrawer,h0aX14,IssueCommentEvent,Actually it should stick down!
canboat/BR24radar_pi,Hakansv,IssueCommentEvent,"Kees
I've tested on Ubuntu 12.04 and it's no change. 
""OnGuardZoneDialogClose() still centre the ControlDialog. If I read conf-file before and after the event x-value is changed but I can't yet follow what's happening. But still it's only in GTK. In Win it's working as it should.
"
musescore/MuseScore,lasconic,IssueCommentEvent,I restated the tests. Travis memory is too low sometimes...
catarse/catarse,MasterDev21,IssueCommentEvent,Not at all.  Couldn't really find much help either.  Let me know if you have any success.
machinekit/machinekit,mhaberler,IssueCommentEvent,"what's the status of this PR?

if still relevant, I guess I should go through them?"
Matt-Esch/virtual-dom,AlexGalays,IssueCommentEvent,"Not sure, I don't know the codebase yet. It looks like you already put in a few optimizations? How does that reverse index work?

I don't really get why a new node inserted at index 3, is actually appended (INSERT patch) then moved. I guess that made other uses cases simpler?

Would a naive optimization approach work?
```
if (num(INSERT patches) == n-1) { // n = total number of patches; bail fast in most occasion
    check the MOVE patch; for each of these (new) n-1 indices, if they're being moved to a consecutive 0 index, delete all the other scheduled moves.
}
```
use-case-specific optimisations like this one may feel weird but we have to remember this is being used in UIs where prepend-the-newest-items is a very common operation (e.g Facebook top right activity panel)

For info, knockout computes the levenshtein distance between the 2 arrays to compute the least amount of patches, I don't think you can beat that at the DOM level but it's unclear whether the JS overhead makes it worth it."
glasklart/hd,dreamnet,IssueCommentEvent,@dominicPereira That's interesting. Can you please post the `CFBundleIdentifier` from the `Info.plist` of this app?
Behat/docs,stof,IssueCommentEvent,"@everzet I will let you write the documentation about the better way, as you have more experience with Behat 3 than me, and so you probably know it better."
avleen/vexim2,Udera,IssueCommentEvent,"I could make a separate route for all users that want to pass mails directly to dovecot (I select them by a modified SQL-query, on_piped=1). This is nice in my case, but if someone wants to pipe his mails to a different program?"
dankempster/axstrad-symfony-extra,coveralls,IssueCommentEvent,"
[![Coverage Status](https://coveralls.io/builds/1680268/badge)](https://coveralls.io/builds/1680268)

Changes Unknown when pulling **75981f27394061e73460fe597da53eea8a9b5634 on add-coveralls** into ** on develop**.
"
cakephp/cakephp,markstory,PullRequestReviewCommentEvent,@lorenzo Sounds good.
AppliedEnergistics/Applied-Energistics-2,TheJulianJES,IssueCommentEvent,"Can you maybe give us screenshots or a video, a log, your setup?"
HappenApps/Quiver,nschneid,IssueCommentEvent,My other use for the preamble is to define my own macros for use within a document. The MathJax docs mention `\newcommand`; presumably the advantage to a preamble would be to share the same commands across LaTeX cells in a note (or notebook).
machinekit/machinekit,mhaberler,IssueCommentEvent,"is this PR still good to go?

(trying to show good intentions ;)"
OpenRA/OpenRA,Mailaender,IssueCommentEvent,I just merged #7235 without waiting for additional +2 so you may want to rebase to test it.
owncloud/calendar,RealRancor,IssueCommentEvent,"Hi,

which URL are you using for syncing your calendars?"
alice345/sushi_on_rails,alice345,IssueCommentEvent,僕も実装できませんでした
Vazkii/Botania,Vazkii,IssueCommentEvent,They will have a use soon but that's not it.
kaltura/mwEmbed,KalturaGitBot,IssueCommentEvent,"## Updated pull request 1312: 73becabba68c2e6f5ab6dca651b00605ad773c4a
* Library version ID: 73becabb__73becabb ( last commit: 73becabba68c2e6f5ab6dca651b00605ad773c4a ) 
* [Feature list docs](http://kgit.html5video.org/pulls/1312/docs/)  -- Feature list for this pull request
* [mwEmbedLoader url](http://kgit.html5video.org/pulls/1312/mwEmbedLoader.php) -- For testing custom players"
kaltura/mwEmbed,KalturaGitBot,IssueCommentEvent,"## Updated pull request 1312: 73becabba68c2e6f5ab6dca651b00605ad773c4a
* Library version ID: 73becabb__73becabb ( last commit: 73becabba68c2e6f5ab6dca651b00605ad773c4a ) 
* [Feature list docs](http://kgit.html5video.org/pulls/1312/docs/)  -- Feature list for this pull request
* [mwEmbedLoader url](http://kgit.html5video.org/pulls/1312/mwEmbedLoader.php) -- For testing custom players"
kaltura/mwEmbed,KalturaGitBot,IssueCommentEvent,"## Updated pull request 1312: 73becabba68c2e6f5ab6dca651b00605ad773c4a
* Library version ID: 73becabb__73becabb ( last commit: 73becabba68c2e6f5ab6dca651b00605ad773c4a ) 
* [Feature list docs](http://kgit.html5video.org/pulls/1312/docs/)  -- Feature list for this pull request
* [mwEmbedLoader url](http://kgit.html5video.org/pulls/1312/mwEmbedLoader.php) -- For testing custom players"
kaltura/mwEmbed,KalturaGitBot,IssueCommentEvent,"## Updated pull request 1312: 73becabba68c2e6f5ab6dca651b00605ad773c4a
* Library version ID: 73becabb__73becabb ( last commit: 73becabba68c2e6f5ab6dca651b00605ad773c4a ) 
* [Feature list docs](http://kgit.html5video.org/pulls/1312/docs/)  -- Feature list for this pull request
* [mwEmbedLoader url](http://kgit.html5video.org/pulls/1312/mwEmbedLoader.php) -- For testing custom players"
JuliaLang/julia,timholy,IssueCommentEvent,"@bkamins, it's easy to [edit the documentation yourself](https://github.com/JuliaLang/julia/blob/master/CONTRIBUTING.md#improving-documentation), please do consider giving it a whirl."
odoo/odoo,ssh-odoo,PullRequestReviewCommentEvent,Done !
symfony/symfony,saro0h,IssueCommentEvent,Done.
tjarvstrand/edts,tjarvstrand,IssueCommentEvent,If it's the result of a bug it would be great if you could give a minimal example configuration and project to reproduce it.
OpenUpgrade/OpenUpgrade,pedrobaeza,IssueCommentEvent,"OK, no problem, but I will inform about any possible issue I find.

Happy new year!"
owncloud/mail,jancborchardt,IssueCommentEvent,"@Bonbadil thank you for reporting the issue! :) You are very welcome to join us on IRC in #owncloud-mail (freenode), and any issue reports are always appreciated. :rocket: "
jgsogo/muia-linkeddata,jgsogo,IssueCommentEvent,"@alfhonso , propuesta para el matching de ingredientes: ee9cb385825955e99a41d51eece33cf59e79cb5d ;D"
nodeca/mincer,ixti,PullRequestReviewCommentEvent,:+1: 
mixxxdj/mixxx,daschuer,PullRequestReviewCommentEvent,Yes SSE and MMX is a subset of SSE2 and SSE2 is not strictly required to have these flags.
trueaccord/ScalaPB,seacourtaw,IssueCommentEvent,"Thanks very much.

On Thu, 1 Jan 2015 03:34 Nadav S. Samet <notifications@github.com> wrote:

> This is available in 0.4.1
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/trueaccord/ScalaPB/issues/6#issuecomment-68479651>.
>"
nunit/nunit,rprouse,IssueCommentEvent,"From high level overview email by @CharliePoole for reference,

>Runners are supposed to be able to use the best version of the TestEngine that is installed on a system without knowing where they are located. The nunit.engine.api assembly, which is referenced by runners, should locate the engine, instantiate it and return an interface to the runner.

"
jlord/patchwork,reporobot,IssueCommentEvent,"**Hello! The name of the branch with this Pull Request is not of the `add-USERNAME` pattern so I'm skipping reviewing it for the Git-it challenges.**
If you are completing the Git-it challenges, you'll need to close this Pull Request, rename your branch, push it to your fork of Patchwork on GitHub and then start a new Pull Request. Here's how to rename a branch and push it to GitHub from terminal:
```bash
$ git branch -m add-USERNAME
$ git push origin add-USERNAME
```'"
illuminate/html,41eight,IssueCommentEvent,@GrahamCampbell https://github.com/illuminate/support/commit/02cb2173a1f2e4b4afea96765eb51520e957632c
tgstation/-tg-station,Miauw62,IssueCommentEvent,"Did you use the map merger?
Op 1-jan.-2015 14:06 schreef ""Lo6a4evskiy"" <notifications@github.com>:

> I'm a bit worried about 5k lines changed in the map. First time I ever do
> a map edit, I basically deleted food_cart that before just replaced the
> vat, put vat back into its old place and put food cart into the kitchen.
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/tgstation/-tg-station/pull/6717#issuecomment-68486217>
> .
>"
alice345/sushi_on_rails,alice345,IssueCommentEvent,"@Allajah 必要なコミットだけ抜き出して，再度PRお願いしていいですか？
"
jsreport/jsreport,pofider,IssueCommentEvent,"Yes, you can link external styles with absolute url.

Check it out here https://playground.jsreport.net/#playground/eWCYunp7x/3

You may notice pdf looks different then original html. This is because bootstrap has special styles for printing. You would need to remove or overwrite them to have it the same."
RainLoop/rainloop-webmail,RainLoop,IssueCommentEvent,"try this:
```php
$sFileName = '/var/www/rainloop/rainloop/v/0.0.0/langs/en.ini';
$sLang = file_get_contents($sFileName);
var_dump($sLang);
```"
nvkzNemo/UberSplash,MyTheValentinus,IssueCommentEvent,I restart photoshop fiveteen
microg/android_packages_apps_UnifiedNlp,mar-v-in,IssueCommentEvent,"> Something like that might also allow using cell tower and wifi AP information together. So instead of returning a single location record the backend could return a list of location records with the averaging (weighted or otherwise) done for all records from all backends.

I most cases this is not that useful. Usually you will have two backends (one for GSM and one for WiFi) and any kind of averaging does not make sense as WiFi is usually much more accurate than GSM. The ""perfect"" behavior for this setup is to completely ignore the GSM location if a WiFi location is available. Combining backend locations is not easy and highly depends on the backend's resolution, accuracy and confidentiality and for this reason, I think it's best to give a powerful backend combination system into users hands (allow them to say ""request location using Mozilla, if accuracy is worse than 100m, ask Apple and average it with Mozilla if it's accuracy is better than 50m, if both do not provide any results at all use the local gsm database and if that does not succeed ask opencellid online""). We already had some notes about this is #5.

> On a separate note, if the helper classes are extended can you add a query for determining the version?

The API library is compiled into the backend APK, which means that the API library used when compiling is always the one used at runtime. However it might be interesting to know which API version is used on the system side and which is the UnifiedNlp version used. This could be done as an API extension without breaking compatibility thanks to AIDL, so I guess I'll add this feature as well."
forcecore/KWReplayAutoSaver,forcecore,IssueCommentEvent,958c33f553b607cf65d510e6fcbf0efe4eb1dfe2
TTMTT/iCL0udin,rainer2555,IssueCommentEvent,Setting up servers 3 think 
amber-smalltalk/amber,amroto,IssueCommentEvent,"I didnt understand how to do that ! 
As you see I am completely new to programming so this is a bit tough to me"
